,course_organization,course_Certificate_type,course_rating,course_students_enrolled_modified,course_difficulty_modified
0,(ISC)²,SPECIALIZATION,4.7,5.0,0.0
1,University of Pennsylvania,COURSE,4.7,1.0,1.0
2,Johns Hopkins University,COURSE,4.5,13.0,0.5
3,Yale University,COURSE,4.7,9.0,0.5
4,Indian School of Business,COURSE,4.8,32.0,0.5
5,University at Buffalo,COURSE,4.7,3.0,0.0
6,deeplearning.ai,COURSE,4.8,35.0,0.0
7,deeplearning.ai,COURSE,4.8,2.0,1.0
8,IBM,SPECIALIZATION,4.7,6.0,0.0
9,deeplearning.ai,COURSE,4.7,1.0,1.0
10,deeplearning.ai,COURSE,4.6,7.511918274687854,1.0
11,deeplearning.ai,SPECIALIZATION,4.7,1.0,1.0
12,Amazon Web Services,SPECIALIZATION,4.6,13.0,0.0
13,Amazon Web Services,COURSE,4.3,1.0,0.0
14,Amazon Web Services,COURSE,4.7,2.0,0.0
15,Amazon Web Services,COURSE,4.7,11.0,0.0
16,Amazon Web Services,COURSE,4.5,1.0,1.0
17,University of Toronto,COURSE,4.7,6.0,0.5
18,"University of California, Irvine",SPECIALIZATION,4.7,54.0,0.0
19,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,2.0,1.0
20,(ISC)²,COURSE,4.6,2.0,0.0
21,University of Pennsylvania,COURSE,4.5,8.0,0.5
22,University of Michigan,COURSE,4.8,9.0,1.0
23,University of Pennsylvania,SPECIALIZATION,4.7,11.0,0.0
24,Universidad Nacional Autónoma de México,COURSE,4.8,2.0,0.5
25,Yale University,COURSE,4.8,9.0,0.0
26,University of Colorado Boulder,SPECIALIZATION,4.5,7.0,1.0
27,IBM,SPECIALIZATION,4.4,32.0,2.0
28,National Research University Higher School of Economics,SPECIALIZATION,4.5,19.0,2.0
29,Google Cloud,SPECIALIZATION,4.5,3.0,2.0
30,Erasmus University Rotterdam,COURSE,4.7,2.0,2.0
31,Duke University,COURSE,4.8,1.0,0.5
32,Yale University,COURSE,4.7,2.0,0.0
33,University of Virginia,SPECIALIZATION,4.7,9.0,0.0
34,University of Virginia,COURSE,4.7,6.0,0.0
35,Atlassian,COURSE,4.7,4.0,0.0
36,ScrumTrek,COURSE,4.9,1.0,0.0
37,University of California San Diego,COURSE,4.7,22.0,1.0
38,Stanford University,SPECIALIZATION,4.8,15.0,1.0
39,University of Colorado System,SPECIALIZATION,4.8,1.0,1.0
40,Yale University,COURSE,4.9,1.0,0.0
41,University of Pennsylvania,COURSE,4.8,2.0,0.0
42,Copenhagen Business School,COURSE,4.7,6.0,0.0
43,"University of California, Irvine",SPECIALIZATION,4.6,27.0,0.0
44,Macquarie University,SPECIALIZATION,4.6,7.0,0.0
45,University of Michigan,SPECIALIZATION,4.8,3.0,0.0
46,Yale University,COURSE,4.8,3.0,1.0
47,University of Michigan,COURSE,4.8,2.0,0.0
48,University of Pennsylvania,COURSE,4.8,8.0,0.5
49,Vanderbilt University,SPECIALIZATION,4.5,12.0,0.0
50,The University of Edinburgh,COURSE,4.8,7.0,0.5
51,Stanford University,COURSE,4.5,1.0,2.0
52,Universidad Nacional Autónoma de México,COURSE,4.8,1.0,0.0
53,Technical University of Denmark (DTU),COURSE,4.6,6.0,1.0
54,IBM,SPECIALIZATION,4.6,22.0,0.0
55,IBM,COURSE,4.7,4.0,1.0
56,University of Michigan,SPECIALIZATION,4.5,48.0,1.0
57,University of Michigan,COURSE,4.6,15.0,1.0
58,University of Michigan,COURSE,4.6,9.0,1.0
59,Universidad Austral,SPECIALIZATION,4.2,6.0,0.0
60,Universidad Nacional Autónoma de México,COURSE,4.8,20.0,0.5
61,University of California San Diego,COURSE,4.9,18.0,0.0
62,Google Cloud,SPECIALIZATION,4.5,4.0,1.0
63,Google Cloud,SPECIALIZATION,4.7,31.0,1.0
64,Google Cloud,SPECIALIZATION,4.5,3.0,0.0
65,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,15.0,0.0
66,The Museum of Modern Art,COURSE,4.8,7.0,0.5
67,The Museum of Modern Art,COURSE,4.8,3.0,0.5
68,National Arts Strategies,COURSE,4.6,1.0,0.5
69,Università Bocconi,COURSE,4.8,1.0,0.5
70,University of Virginia,COURSE,4.9,1.0,0.0
71,The University of Edinburgh,COURSE,4.7,6.0,0.5
72,Pontificia Universidad Católica de Chile,COURSE,4.8,3.0,1.0
73,"University of California, Davis",COURSE,4.6,5.0,0.5
74,Autodesk,SPECIALIZATION,4.8,7.0,1.0
75,Autodesk,SPECIALIZATION,4.8,9.0,1.0
76,Autodesk,COURSE,4.7,2.0,2.0
77,Autodesk,COURSE,4.7,9.0,2.0
78,National Taiwan University,COURSE,4.6,1.0,0.0
79,University of Amsterdam,COURSE,4.6,18.0,0.0
80,"University of California, Santa Cruz",COURSE,4.8,9.0,1.0
